transaction_id,customer_id,product_category,price,quantity,payment_method,purchase_date,city,customer_age
1,4174,Casa,1337.31,1,Cartão Crédito,2024-01-01 00:00:00,Belo Horizonte,61
2,4507,Roupas,1582.55,3,Cartão Débito,2024-01-01 01:00:00,Porto Alegre,35
3,1860,Roupas,1361.92,1,PIX,2024-01-01 02:00:00,Fortaleza,23
4,2294,Roupas,332.16,2,PIX,2024-01-01 03:00:00,Belo Horizonte,69
5,2130,Livros,945.79,4,Cartão Crédito,2024-01-01 04:00:00,Fortaleza,17
6,2095,Casa,256.87,4,Cartão Crédito,2024-01-01 05:00:00,Fortaleza,52
7,4772,Roupas,1561.16,4,PIX,2024-01-01 06:00:00,Porto Alegre,19
8,4092,Esportes,1122.72,4,Cartão Débito,2024-01-01 07:00:00,Rio de Janeiro,25
9,2638,PetShop,1947.18,5,Cartão Crédito,2024-01-01 08:00:00,Fortaleza,35
10,3169,PetShop,558.97,1,Boleto,2024-01-01 09:00:00,Porto Alegre,75
11,1466,Esportes,419.77,4,Cartão Crédito,2024-01-01 10:00:00,Belo Horizonte,71
12,2238,PetShop,1021.77,5,PIX,2024-01-01 11:00:00,São Paulo,68
13,1330,Livros,2317.2,5,PIX,2024-01-01 12:00:00,Belo Horizonte,50
14,2482,Livros,1778.95,5,Cartão Crédito,2024-01-01 13:00:00,Curitiba,63
15,3135,Eletronicos,1053.12,3,Cartão Crédito,2024-01-01 14:00:00,Belo Horizonte,79
16,4444,Eletronicos,1298.01,3,Boleto,2024-01-01 15:00:00,Rio de Janeiro,25
17,4171,Eletronicos,219.69,5,Boleto,2024-01-01 16:00:00,Porto Alegre,43
18,3919,PetShop,2461.59,4,Cartão Débito,2024-01-01 17:00:00,Fortaleza,30
19,4735,Livros,1669.35,1,Cartão Débito,2024-01-01 18:00:00,Curitiba,51
20,1130,Livros,720.66,2,Boleto,2024-01-01 19:00:00,Porto Alegre,16
21,2685,Livros,1468.66,3,Cartão Débito,2024-01-01 20:00:00,Porto Alegre,37
22,4380,Esportes,282.61,4,Cartão Débito,2024-01-01 21:00:00,Fortaleza,42
23,1769,Livros,2414.93,4,Cartão Crédito,2024-01-01 22:00:00,Belo Horizonte,44
24,3391,Esportes,445.21,2,Boleto,2024-01-01 23:00:00,São Paulo,30
25,2515,Eletronicos,1623.6,2,Cartão Crédito,2024-01-02 00:00:00,Curitiba,25
26,4485,Eletronicos,621.18,4,Cartão Crédito,2024-01-02 01:00:00,Fortaleza,35
27,3853,PetShop,1796.73,2,Cartão Débito,2024-01-02 02:00:00,Rio de Janeiro,37
28,3433,Eletronicos,1944.29,4,Cartão Crédito,2024-01-02 03:00:00,Rio de Janeiro,65
29,2215,PetShop,1686.82,2,PIX,2024-01-02 04:00:00,São Paulo,63
30,1955,Roupas,1540.1,2,Cartão Débito,2024-01-02 05:00:00,São Paulo,68
31,3324,Roupas,2232.25,4,PIX,2024-01-02 06:00:00,Belo Horizonte,74
32,2184,Casa,205.78,5,Cartão Débito,2024-01-02 07:00:00,Rio de Janeiro,24
33,1459,PetShop,833.98,4,Cartão Crédito,2024-01-02 08:00:00,Curitiba,71
34,4385,Casa,628.24,1,Cartão Débito,2024-01-02 09:00:00,Fortaleza,66
35,1021,Casa,2470.15,2,PIX,2024-01-02 10:00:00,São Paulo,47
36,3300,Roupas,979.58,3,Cartão Débito,2024-01-02 11:00:00,São Paulo,32
37,1747,PetShop,1834.21,2,PIX,2024-01-02 12:00:00,São Paulo,57
38,3904,Roupas,1714.97,1,Boleto,2024-01-02 13:00:00,Fortaleza,34
39,4632,Casa,538.08,3,Cartão Crédito,2024-01-02 14:00:00,Curitiba,55
40,1474,PetShop,605.1,3,PIX,2024-01-02 15:00:00,Rio de Janeiro,42
41,2082,Casa,710.4,4,Boleto,2024-01-02 16:00:00,Curitiba,66
42,3558,Livros,1033.71,5,Cartão Crédito,2024-01-02 17:00:00,Fortaleza,52
43,4753,PetShop,593.47,4,Boleto,2024-01-02 18:00:00,Curitiba,49
44,3047,PetShop,58.93,3,PIX,2024-01-02 19:00:00,Belo Horizonte,62
45,4547,Casa,2199.69,3,Cartão Crédito,2024-01-02 20:00:00,Fortaleza,64
46,3747,Livros,2414.37,5,Boleto,2024-01-02 21:00:00,São Paulo,74
47,1975,Esportes,860.51,2,PIX,2024-01-02 22:00:00,Rio de Janeiro,25
48,2806,Roupas,852.88,5,Boleto,2024-01-02 23:00:00,Belo Horizonte,78
49,1189,Casa,27.66,4,Cartão Crédito,2024-01-03 00:00:00,Belo Horizonte,45
50,4005,PetShop,1703.82,2,Cartão Crédito,2024-01-03 01:00:00,Fortaleza,36
51,3734,Roupas,2065.35,4,Cartão Crédito,2024-01-03 02:00:00,Porto Alegre,36
52,4005,Roupas,375.05,5,PIX,2024-01-03 03:00:00,São Paulo,69
53,1562,Roupas,407.57,2,Boleto,2024-01-03 04:00:00,Rio de Janeiro,49
54,2899,Esportes,1977.31,5,Boleto,2024-01-03 05:00:00,Rio de Janeiro,24
55,4638,Eletronicos,1544.56,1,PIX,2024-01-03 06:00:00,Rio de Janeiro,49
56,2267,Casa,121.7,3,Cartão Crédito,2024-01-03 07:00:00,Fortaleza,65
57,3879,Eletronicos,1560.14,2,Cartão Débito,2024-01-03 08:00:00,São Paulo,27
58,2528,Eletronicos,779.21,3,Cartão Crédito,2024-01-03 09:00:00,Fortaleza,62
59,4202,Eletronicos,928.13,1,Cartão Débito,2024-01-03 10:00:00,Rio de Janeiro,36
60,4556,Roupas,1926.63,2,Cartão Crédito,2024-01-03 11:00:00,Curitiba,72
61,4890,Livros,2029.23,3,PIX,2024-01-03 12:00:00,Curitiba,35
62,1646,Roupas,1006.89,3,Cartão Débito,2024-01-03 13:00:00,São Paulo,21
63,3068,Roupas,2368.41,2,PIX,2024-01-03 14:00:00,Rio de Janeiro,65
64,3888,PetShop,1022.09,3,Cartão Débito,2024-01-03 15:00:00,Fortaleza,77
65,3214,PetShop,1931.87,3,Boleto,2024-01-03 16:00:00,Porto Alegre,60
66,2297,Eletronicos,1214.85,2,Cartão Débito,2024-01-03 17:00:00,Porto Alegre,51
67,3435,Roupas,2244.86,3,Cartão Débito,2024-01-03 18:00:00,Porto Alegre,78
68,1600,Eletronicos,2270.33,3,Cartão Débito,2024-01-03 19:00:00,Curitiba,27
69,3363,PetShop,227.67,4,Boleto,2024-01-03 20:00:00,Fortaleza,56
70,3061,Livros,2341.87,4,PIX,2024-01-03 21:00:00,Porto Alegre,46
